25 25
0 0 4.63882
0 1 4.63882
0 2 4.29529
0 3 4.72431
0 4 4.06
0 5 3.6502
0 6 3.70118
0 7 3.56431
0 8 3.72902
0 9 4.5098
0 10 4.42824
0 11 2.97059
0 12 3.88
0 13 4.07569
0 14 4.47216
0 15 3.73686
0 16 5.03608
0 17 5.01608
0 18 2.8698
0 19 3.50196
0 20 3.71255
0 21 3.45843
0 22 3.88392
0 23 4.61412
0 24 3.69255
1 0 4.63882
1 1 4.63882
1 2 4.29529
1 3 4.72431
1 4 4.06
1 5 3.6502
1 6 3.70118
1 7 3.56431
1 8 3.72902
1 9 4.5098
1 10 4.42824
1 11 2.97059
1 12 3.88
1 13 4.07569
1 14 4.47216
1 15 3.73686
1 16 5.03608
1 17 5.01608
1 18 2.8698
1 19 3.50196
1 20 3.71255
1 21 3.45843
1 22 3.88392
1 23 4.61412
1 24 3.69255
2 0 4.37608
2 1 4.37608
2 2 4.12235
2 3 3.92431
2 4 4.23216
2 5 4.18039
2 6 3.82196
2 7 4.24902
2 8 3.99529
2 9 3.88431
2 10 3.83843
2 11 4.02039
2 12 4.68
2 13 4.86902
2 14 3.4851
2 15 4.37059
2 16 4.75608
2 17 4.60078
2 18 4.51725
2 19 4.2851
2 20 3.98235
2 21 4.05059
2 22 4.83333
2 23 3.73216
2 24 3.55647
3 0 3.23686
3 1 3.23686
3 2 3.00392
3 3 3.63843
3 4 3.43725
3 5 2.36078
3 6 3.01882
3 7 2.92392
3 8 2.14549
3 9 3.30941
3 10 3.48314
3 11 2.63608
3 12 2.47176
3 13 2.84471
3 14 3.80549
3 15 3.23804
3 16 2.79529
3 17 2.84902
3 18 3.83608
3 19 3.36549
3 20 3.61294
3 21 3.49529
3 22 3.12118
3 23 4.00627
3 24 2.61608
4 0 3.18196
4 1 3.18196
4 2 3.67765
4 3 4.07216
4 4 4.3898
4 5 4.8549
4 6 3.36118
4 7 3.81765
4 8 4.32157
4 9 3.79843
4 10 4.75451
4 11 3.38431
4 12 4.38902
4 13 3.96314
4 14 4.8451
4 15 4.11569
4 16 3.93333
4 17 3.72863
4 18 4.14588
4 19 3.61843
4 20 4.95373
4 21 4.81451
4 22 3.43059
4 23 3.58745
4 24 4.53882
5 0 4.34431
5 1 4.34431
5 2 3.75686
5 3 4.44706
5 4 4.97529
5 5 4.62824
5 6 3.48588
5 7 3.74353
5 8 4.21765
5 9 4.00196
5 10 3.67686
5 11 3.84941
5 12 4.18588
5 13 4.11882
5 14 3.74471
5 15 3.73294
5 16 4.30431
5 17 3.52745
5 18 3.56784
5 19 4.50667
5 20 3.96431
5 21 4.34824
5 22 3.87647
5 23 3.58745
5 24 3.06941
6 0 3.07294
6 1 3.07294
6 2 2.84824
6 3 2.63765
6 4 2.92353
6 5 3.2
6 6 2.8302
6 7 3.02235
6 8 2.92235
6 9 3.19529
6 10 4.02157
6 11 2.97216
6 12 3.22196
6 13 3.20471
